,window,mean_geoaltitude
180,"Row(start=datetime.datetime(2022, 2, 21, 8, 10), end=datetime.datetime(2022, 2, 21, 8, 12))",5798.8199999999915
181,"Row(start=datetime.datetime(2022, 2, 21, 8, 12), end=datetime.datetime(2022, 2, 21, 8, 14))",5793.739999999994
182,"Row(start=datetime.datetime(2022, 2, 21, 8, 14), end=datetime.datetime(2022, 2, 21, 8, 16))",5791.199999999995
183,"Row(start=datetime.datetime(2022, 2, 21, 8, 16), end=datetime.datetime(2022, 2, 21, 8, 18))",5790.437999999996
184,"Row(start=datetime.datetime(2022, 2, 21, 8, 18), end=datetime.datetime(2022, 2, 21, 8, 20))",5783.706999999994
185,"Row(start=datetime.datetime(2022, 2, 21, 8, 20), end=datetime.datetime(2022, 2, 21, 8, 22))",5783.0084999999945
186,"Row(start=datetime.datetime(2022, 2, 21, 8, 22), end=datetime.datetime(2022, 2, 21, 8, 24))",5773.039
187,"Row(start=datetime.datetime(2022, 2, 21, 8, 24), end=datetime.datetime(2022, 2, 21, 8, 26))",5449.5700000000015
188,"Row(start=datetime.datetime(2022, 2, 21, 8, 26), end=datetime.datetime(2022, 2, 21, 8, 28))",4636.1984999999995
189,"Row(start=datetime.datetime(2022, 2, 21, 8, 28), end=datetime.datetime(2022, 2, 21, 8, 30))",3676.7135
190,"Row(start=datetime.datetime(2022, 2, 21, 8, 30), end=datetime.datetime(2022, 2, 21, 8, 32))",2790.380499999995
191,"Row(start=datetime.datetime(2022, 2, 21, 8, 32), end=datetime.datetime(2022, 2, 21, 8, 34))",2448.4965
192,"Row(start=datetime.datetime(2022, 2, 21, 8, 34), end=datetime.datetime(2022, 2, 21, 8, 36))",1333.4365
193,"Row(start=datetime.datetime(2022, 2, 21, 8, 36), end=datetime.datetime(2022, 2, 21, 8, 38))",811.2759999999997
194,"Row(start=datetime.datetime(2022, 2, 21, 8, 38), end=datetime.datetime(2022, 2, 21, 8, 40))",516.8900000000002
195,"Row(start=datetime.datetime(2022, 2, 21, 8, 40), end=datetime.datetime(2022, 2, 21, 8, 42))",323.4890526315789
196,"Row(start=datetime.datetime(2022, 2, 21, 8, 42), end=datetime.datetime(2022, 2, 21, 8, 44))",
197,"Row(start=datetime.datetime(2022, 2, 21, 8, 44), end=datetime.datetime(2022, 2, 21, 8, 46))",
198,"Row(start=datetime.datetime(2022, 2, 21, 8, 46), end=datetime.datetime(2022, 2, 21, 8, 48))",
199,"Row(start=datetime.datetime(2022, 2, 21, 8, 48), end=datetime.datetime(2022, 2, 21, 8, 50))",
200,"Row(start=datetime.datetime(2022, 2, 21, 8, 50), end=datetime.datetime(2022, 2, 21, 8, 52))",
201,"Row(start=datetime.datetime(2022, 2, 21, 8, 52), end=datetime.datetime(2022, 2, 21, 8, 54))",
202,"Row(start=datetime.datetime(2022, 2, 21, 10, 24), end=datetime.datetime(2022, 2, 21, 10, 26))",907.167457627118
203,"Row(start=datetime.datetime(2022, 2, 21, 10, 26), end=datetime.datetime(2022, 2, 21, 10, 28))",1353.9470000000001
204,"Row(start=datetime.datetime(2022, 2, 21, 10, 28), end=datetime.datetime(2022, 2, 21, 10, 30))",1916.6840000000004
205,"Row(start=datetime.datetime(2022, 2, 21, 10, 30), end=datetime.datetime(2022, 2, 21, 10, 32))",2392.489499999998
206,"Row(start=datetime.datetime(2022, 2, 21, 10, 32), end=datetime.datetime(2022, 2, 21, 10, 34))",2529.141500000001
207,"Row(start=datetime.datetime(2022, 2, 21, 10, 34), end=datetime.datetime(2022, 2, 21, 10, 36))",2529.840000000001
208,"Row(start=datetime.datetime(2022, 2, 21, 10, 36), end=datetime.datetime(2022, 2, 21, 10, 38))",2395.508636363637
209,"Row(start=datetime.datetime(2022, 2, 21, 10, 38), end=datetime.datetime(2022, 2, 21, 10, 40))",1783.207531380759
210,"Row(start=datetime.datetime(2022, 2, 21, 10, 40), end=datetime.datetime(2022, 2, 21, 10, 42))",1769.0465000000077
211,"Row(start=datetime.datetime(2022, 2, 21, 10, 42), end=datetime.datetime(2022, 2, 21, 10, 44))",1783.2070000000035
212,"Row(start=datetime.datetime(2022, 2, 21, 10, 44), end=datetime.datetime(2022, 2, 21, 10, 46))",1792.6367500000013
213,"Row(start=datetime.datetime(2022, 2, 21, 10, 46), end=datetime.datetime(2022, 2, 21, 10, 48))",1785.5882500000055
