,time,lat,lon,geoaltitude,signature
3378,1645233246,26.296737670898438,-98.47341285561612,8267.7,0
3379,1645233247,26.296428098516948,-98.4741034874549,8267.7,0
3380,1645233248,26.29559326171875,-98.47631490455484,8267.7,0
3381,1645233249,26.295264292571503,-98.47700852614184,8267.7,0
3382,1645233250,26.294998168945312,-98.47776592902414,8267.7,0
3383,1645233251,26.294403076171875,-98.4792169534935,8267.7,0
3384,1645233252,26.293309098583155,-98.48197350135217,8267.7,0
3385,1645233253,26.292843576204977,-98.4831355168269,8267.7,0
3386,1645233254,26.292471158302437,-98.48403343787561,8267.7,0
3387,1645233255,26.29191253144862,-98.48551236666162,8267.7,0
3388,1645233256,26.29130735235699,-98.4869384765625,8267.7,0
3389,1645233257,26.29046941207627,-98.48899841308594,8267.7,0
3390,1645233258,26.289962768554688,-98.49030692622347,8267.7,0
3391,1645233259,26.289276123046875,-98.49206888450766,8267.7,0
3392,1645233260,26.288681030273438,-98.49351990897702,8267.7,0
3393,1645233261,26.28814180018538,-98.49486130934497,8267.7,0
3394,1645233262,26.287490844726562,-98.49642195791569,8267.7,0
3395,1645233263,26.286977994239937,-98.49776634803186,8267.7,0
3396,1645233264,26.286666870117188,-98.49849485001471,8267.7,0
3397,1645233265,26.285842895507812,-98.50051591981133,8267.7,0
3398,1645233266,26.285581427105402,-98.50125239445612,8267.7,0
3399,1645233267,26.284698486328125,-98.50346979105245,8267.7,0
3400,1645233268,26.284045203257413,-98.50505535419171,8267.7,0
3401,1645233269,26.283416748046875,-98.506682773806,8267.7,0
3402,1645233270,26.282913208007812,-98.50787468676299,8267.7,0
3403,1645233271,26.2825927734375,-98.50875566590508,8267.7,0
3404,1645233272,26.281671039128707,-98.51091825045069,8267.7,0
3405,1645233273,26.281345173463983,-98.51181617149939,8267.7,0
3406,1645233274,26.28073999437235,-98.51329510028546,8267.7,0
3407,1645233275,26.279948606329448,-98.5153550368089,8267.7,0
3408,1645233276,26.279343427237816,-98.51678114670972,8267.7,0
3409,1645233277,26.278793334960938,-98.51813550265331,8267.7,0
3410,1645233278,26.278244018554688,-98.51958652712261,8267.7,0
3411,1645233279,26.27764892578125,-98.52103755159197,8267.7,0
3412,1645233280,26.277053833007812,-98.52248857606133,8267.7,0
3413,1645233281,26.276410636255296,-98.52412297175482,8267.7,0
3414,1645233282,26.276092529296875,-98.52487240197524,8267.7,0
3415,1645233283,26.27520027807203,-98.5270808293269,8267.7,0
3416,1645233284,26.274581909179688,-98.52870725235846,8267.7,0
