,time,latitude,longitude,velocity,heading,baroaltitude,geoaltitude,signature,icao24,trip_number
1905,1645988049,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1906,1645988050,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1907,1645988051,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1908,1645988052,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1909,1645988053,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1910,1645988054,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1911,1645988055,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1912,1645988056,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1913,1645988057,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1914,1645988058,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1915,1645988059,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1916,1645988060,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1917,1645988061,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1918,1645988062,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1919,1645988063,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1920,1645988064,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1921,1645988065,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1922,1645988066,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1923,1645988067,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1924,1645988068,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1925,1645988069,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1926,1645988070,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1927,1645988071,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1928,1645988072,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1929,1645988073,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1930,1645988074,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
