,time,lat,lon,velocity,heading,flight_number,signature
2566,1645465510,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2567,1645465511,42.81413269,-73.17175577,63.09231486,9.38551826,0,0
2568,1645465512,42.81445313,-73.17169189,63.09231486,9.38551826,0,0
2569,1645465513,42.81491089,-73.17156415,63.09231486,9.38551826,0,0
2570,1645465514,42.81491089,-73.17156415,63.09231486,9.38551826,0,0
2571,1645465515,42.81491089,-73.17156415,63.09231486,9.38551826,0,0
2572,1645465516,42.81491089,-73.17156415,63.09231486,9.38551826,0,0
2573,1645465517,42.81491089,-73.17156415,63.09231486,9.38551826,0,0
2574,1645465518,42.81491089,-73.17156415,63.09231486,9.38551826,0,0
2575,1645465519,42.81491089,-73.17156415,63.09231486,9.38551826,0,0
2576,1645465520,42.8187949,-73.17071097,63.09231486,9.38551826,0,0
2577,1645465521,42.8187949,-73.17071097,63.09231486,9.38551826,0,0
2578,1645465522,42.82014491,-73.170384,63.09231486,9.38551826,0,0
2579,1645465523,42.82014491,-73.170384,63.09231486,9.38551826,0,0
2580,1645465524,42.82014491,-73.170384,63.09231486,9.38551826,0,0
2581,1645465525,42.82014491,-73.170384,63.09231486,9.38551826,0,0
2582,1645465526,42.82219321,-73.16992623,63.09231486,9.38551826,0,0
2583,1645465527,42.82219321,-73.16992623,63.09231486,9.38551826,0,0
2584,1645465528,42.82331046,-73.16966466,63.09231486,9.38551826,0,0
2585,1645465529,42.82331046,-73.16966466,63.09231486,9.38551826,0,0
2586,1645465530,42.82331046,-73.16966466,63.09231486,9.38551826,0,0
2587,1645465531,42.82331046,-73.16966466,63.09231486,9.38551826,0,0
2588,1645465532,42.82573118,-73.1691415,63.09231486,9.38551826,0,0
2589,1645465533,42.82573118,-73.1691415,63.09231486,9.38551826,0,0
2590,1645465534,42.8269043,-73.16881756,63.09231486,9.38551826,0,0
2591,1645465535,42.8269043,-73.16881756,63.09231486,9.38551826,0,0
2592,1645465536,42.8269043,-73.16881756,63.09231486,9.38551826,0,0
2593,1645465537,42.8269043,-73.16881756,63.09231486,9.38551826,0,0
2594,1645465538,42.8269043,-73.16881756,64.69938667,9.612114754,0,0
2595,1645465539,42.82982778,-73.16816057,64.69938667,9.612114754,0,0
2596,1645465540,42.8303864,-73.16802979,64.69938667,9.612114754,0,0
2597,1645465541,42.83102417,-73.16785945,64.69938667,9.612114754,0,0
2598,1645465542,42.83125305,-73.16779558,64.69938667,9.612114754,0,0
2599,1645465543,42.83125305,-73.16779558,64.78727266,10.0606898,0,0
2600,1645465544,42.83276367,-73.16747621,64.78727266,10.0606898,0,0
2601,1645465545,42.83276367,-73.16747621,64.78727266,10.0606898,0,0
2602,1645465546,42.8336792,-73.16722071,64.78727266,10.0606898,0,0
2603,1645465547,42.8336792,-73.16722071,64.78727266,10.0606898,0,0
2604,1645465548,42.83466921,-73.16704886,64.78727266,10.0606898,0,0
2605,1645465549,42.83560025,-73.16678728,64.78727266,10.0606898,0,0
2606,1645465550,42.83560025,-73.16678728,65.20666484,9.536635758,0,0
2607,1645465551,42.83639164,-73.1665911,65.20666484,9.536635758,0,0
2608,1645465552,42.8371582,-73.16645423,65.20666484,9.536635758,0,0
2609,1645465553,42.83778821,-73.16632952,65.20666484,9.536635758,0,0
2610,1645465554,42.83778821,-73.16632952,65.20666484,9.536635758,0,0
2611,1645465555,42.83895202,-73.16606794,65.20666484,9.536635758,0,0
2612,1645465556,42.83958435,-73.16587936,65.20666484,9.536635758,0,0
2613,1645465557,42.84011582,-73.16580636,65.20666484,9.536635758,0,0
2614,1645465558,42.84011582,-73.16580636,65.20666484,9.536635758,0,0
2615,1645465559,42.84137273,-73.16547939,65.20666484,9.536635758,0,0
2616,1645465560,42.84193136,-73.1653486,65.20666484,9.536635758,0,0
2617,1645465561,42.84223938,-73.16530449,65.20666484,9.536635758,0,0
2618,1645465562,42.84315491,-73.165049,64.69938667,9.612114754,0,0
2619,1645465563,42.84315491,-73.165049,64.69938667,9.612114754,0,0
2620,1645465564,42.84425897,-73.16482544,64.69938667,9.612114754,0,0
2621,1645465565,42.8448176,-73.16469465,64.69938667,9.612114754,0,0
2622,1645465566,42.84537622,-73.16456386,64.69938667,9.612114754,0,0
2623,1645465567,42.84567261,-73.16447413,64.69938667,9.612114754,0,0
2624,1645465568,42.84649658,-73.16428251,64.69938667,9.612114754,0,0
2625,1645465569,42.84649658,-73.16428251,64.69938667,9.612114754,0,0
2626,1645465570,42.84741211,-73.16409089,64.69938667,9.612114754,0,0
2627,1645465571,42.84819031,-73.16389927,64.69938667,9.612114754,0,0
2628,1645465572,42.8487854,-73.16377152,64.69938667,9.612114754,0,0
2629,1645465573,42.8487854,-73.16377152,64.28080195,10.14079315,0,0
2630,1645465574,42.85002136,-73.16345215,64.28080195,10.14079315,0,0
2631,1645465575,42.85002136,-73.16345215,64.28080195,10.14079315,0,0
2632,1645465576,42.85093689,-73.16326053,64.19222255,9.68878656,0,0
2633,1645465577,42.85156767,-73.16312517,64.19222255,9.68878656,0,0
2634,1645465578,42.85231018,-73.16294116,63.68517521,9.766679396,0,0
2635,1645465579,42.85259182,-73.1628636,63.68517521,9.766679396,0,0
2636,1645465580,42.85345459,-73.16268566,63.68517521,9.766679396,0,0
2637,1645465581,42.85370908,-73.16260202,63.68517521,9.766679396,0,0
2638,1645465582,42.85455322,-73.16243016,63.17824746,9.845822368,0,0
2639,1645465583,42.85491943,-73.16230242,63.17824746,9.845822368,0,0
2640,1645465584,42.85575737,-73.16214425,63.17824746,9.845822368,0,0
2641,1645465585,42.85575737,-73.16214425,63.17824746,9.845822368,0,0
2642,1645465586,42.85687463,-73.16188267,63.17824746,9.845822368,0,0
2643,1645465587,42.85687463,-73.16188267,63.17824746,9.845822368,0,0
2644,1645465588,42.85794067,-73.1615998,62.67144221,9.926245507,0,0
2645,1645465589,42.85812378,-73.16153593,62.67144221,9.926245507,0,0
2646,1645465590,42.85812378,-73.16153593,62.67144221,9.926245507,0,0
2647,1645465591,42.85812378,-73.16153593,62.67144221,9.926245507,0,0
2648,1645465592,42.85812378,-73.16153593,62.16476245,10.0079798,0,0
2649,1645465593,42.85812378,-73.16153593,62.16476245,10.0079798,0,0
2650,1645465594,42.85812378,-73.16153593,62.16476245,10.0079798,0,0
2651,1645465595,42.86139019,-73.16077096,62.16476245,10.0079798,0,0
2652,1645465596,42.86139019,-73.16077096,61.65821127,10.09105724,0,0
2653,1645465597,42.86283331,-73.16037859,61.75042575,10.56101069,0,0
2654,1645465598,42.8631134,-73.16032232,61.75042575,10.56101069,0,0
2655,1645465599,42.8631134,-73.16032232,61.75042575,10.56101069,0,0
2656,1645465600,42.8631134,-73.16032232,61.24476886,10.64921966,0,0
2657,1645465601,42.86478851,-73.15992083,61.24476886,10.64921966,0,0
2658,1645465602,42.86534713,-73.15979004,61.24476886,10.64921966,0,0
2659,1645465603,42.86534713,-73.15979004,61.24476886,10.64921966,0,0
2660,1645465604,42.86641784,-73.15952846,61.24476886,10.64921966,0,0
2661,1645465605,42.86692991,-73.15933228,61.24476886,10.64921966,0,0
2662,1645465606,42.86692991,-73.15933228,61.24476886,10.64921966,0,0
2663,1645465607,42.86828613,-73.15904484,61.24476886,10.64921966,0,0
2664,1645465608,42.8688851,-73.15887451,60.73925955,10.7388971,0,0
2665,1645465609,42.86915588,-73.15878935,60.73925955,10.7388971,0,0
2666,1645465610,42.86956787,-73.1586616,60.83721738,11.21491468,0,0
2667,1645465611,42.87018857,-73.15854754,60.83721738,11.21491468,0,0
2668,1645465612,42.87018857,-73.15854754,60.73925955,10.7388971,0,0
2669,1645465613,42.87018857,-73.15854754,60.73925955,10.7388971,0,0
2670,1645465614,42.87018857,-73.15854754,60.73925955,10.7388971,0,0
2671,1645465615,42.87018857,-73.15854754,60.73925955,10.7388971,0,0
2672,1645465616,42.87018857,-73.15854754,60.73925955,10.7388971,0,0
2673,1645465617,42.87345886,-73.15770349,60.73925955,10.7388971,0,0
2674,1645465618,42.87345886,-73.15770349,60.73925955,10.7388971,0,0
2675,1645465619,42.87345886,-73.15770349,60.73925955,10.7388971,0,0
2676,1645465620,42.87345886,-73.15770349,60.73925955,10.7388971,0,0
2677,1645465621,42.87345886,-73.15770349,60.73925955,10.7388971,0,0
2678,1645465622,42.87345886,-73.15770349,60.73925955,10.7388971,0,0
2679,1645465623,42.87345886,-73.15770349,60.73925955,10.7388971,0,0
2680,1645465624,42.87345886,-73.15770349,60.73925955,10.7388971,0,0
2681,1645465625,42.87345886,-73.15770349,60.73925955,10.7388971,0,0
2682,1645465626,42.87345886,-73.15770349,60.73925955,10.7388971,0,0
2683,1645465627,42.87345886,-73.15770349,60.73925955,10.7388971,0,0
2684,1645465628,42.87931281,-73.15612793,60.73925955,10.7388971,0,0
2685,1645465629,42.87931281,-73.15612793,60.73925955,10.7388971,0,0
2686,1645465630,42.87931281,-73.15612793,60.73925955,10.7388971,0,0
2687,1645465631,42.87931281,-73.15612793,60.73925955,10.7388971,0,0
2688,1645465632,42.87931281,-73.15612793,61.75042575,10.56101069,0,0
2689,1645465633,42.88188171,-73.1554679,61.75042575,10.56101069,0,0
2690,1645465634,42.88188171,-73.1554679,61.75042575,10.56101069,0,0
2691,1645465635,42.88188171,-73.1554679,61.75042575,10.56101069,0,0
2692,1645465636,42.88188171,-73.1554679,61.84678204,11.02953122,0,0
2693,1645465637,42.88188171,-73.1554679,61.84678204,11.02953122,0,0
2694,1645465638,42.88188171,-73.1554679,61.84678204,11.02953122,0,0
2695,1645465639,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2696,1645465640,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2697,1645465641,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2698,1645465642,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2699,1645465643,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2700,1645465644,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2701,1645465645,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2702,1645465646,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2703,1645465647,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2704,1645465648,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
