,time,latitude,longitude,velocity,heading,baroaltitude,geoaltitude,signature_label,icao24,trip_number
999,1645544709,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
1000,1645544710,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
1001,1645544711,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
1002,1645544712,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
1003,1645544713,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
1004,1645544714,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
1005,1645544715,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
1006,1645544716,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
1007,1645544717,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
1008,1645544718,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
1009,1645544719,28.03282656912076,-81.77630256204044,52.965251522499166,245.92450174492114,556.26,617.22,0,a007c6,0
1010,1645544720,28.032593807931672,-81.77678725298713,52.965251522499166,245.92450174492114,548.64,617.22,0,a007c6,0
1011,1645544721,28.032593807931672,-81.77678725298713,53.61335845706829,244.4184707420611,548.64,617.22,0,a007c6,0
1012,1645544722,28.03203518107786,-81.77807976217831,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1013,1645544723,28.031936645507812,-81.77831796499396,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1014,1645544724,28.03180241988877,-81.778564453125,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1015,1645544725,28.03180241988877,-81.778564453125,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1016,1645544726,28.03180241988877,-81.778564453125,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1017,1645544727,28.03180241988877,-81.778564453125,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1018,1645544728,28.03180241988877,-81.778564453125,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1019,1645544729,28.03180241988877,-81.778564453125,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1020,1645544730,28.03180241988877,-81.778564453125,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1021,1645544731,28.03180241988877,-81.778564453125,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1022,1645544732,28.03180241988877,-81.778564453125,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1023,1645544733,28.03180241988877,-81.778564453125,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1024,1645544734,28.03180241988877,-81.778564453125,53.83749245922838,243.92464441605125,548.64,617.22,0,a007c6,0
1025,1645544735,28.02863686771716,-81.7838960535386,53.83749245922838,243.92464441605125,556.26,617.22,0,a007c6,0
1026,1645544736,28.02863686771716,-81.7838960535386,53.83749245922838,243.92464441605125,556.26,617.22,0,a007c6,0
1027,1645544737,28.02863686771716,-81.7838960535386,53.83749245922838,243.92464441605125,556.26,617.22,0,a007c6,0
1028,1645544738,28.02863686771716,-81.7838960535386,53.83749245922838,243.92464441605125,556.26,617.22,0,a007c6,0
1029,1645544739,28.02775237519862,-81.78545783547794,53.83749245922838,243.92464441605125,556.26,617.22,0,a007c6,0
1030,1645544740,28.02775237519862,-81.78545783547794,50.940347747914714,236.95187513002475,556.26,632.46,0,a007c6,0
1031,1645544741,28.027286852820442,-81.78626565372242,50.940347747914714,236.95187513002475,548.64,632.46,0,a007c6,0
1032,1645544742,28.027007539393537,-81.78675034466912,51.80581349682848,237.57244500422752,548.64,624.84,0,a007c6,0
1033,1645544743,28.027007539393537,-81.78675034466912,52.2407686740005,237.87500155961246,548.64,624.84,0,a007c6,0
1034,1645544744,28.026626586914062,-81.78745563213641,52.2407686740005,237.87500155961246,548.64,624.84,0,a007c6,0
1035,1645544745,28.026260375976562,-81.78808945875898,52.2407686740005,237.87500155961246,548.64,624.84,0,a007c6,0
1036,1645544746,28.026031494140625,-81.78856482872595,52.2407686740005,237.87500155961246,548.64,624.84,0,a007c6,0
1037,1645544747,28.026031494140625,-81.78856482872595,52.2407686740005,237.87500155961246,548.64,624.84,0,a007c6,0
1038,1645544748,28.026031494140625,-81.78856482872595,52.2407686740005,237.87500155961246,548.64,624.84,0,a007c6,0
1039,1645544749,28.026031494140625,-81.78856482872595,52.2407686740005,237.87500155961246,548.64,624.84,0,a007c6,0
1040,1645544750,28.026031494140625,-81.78856482872595,52.2407686740005,237.87500155961246,548.64,624.84,0,a007c6,0
1041,1645544751,28.026031494140625,-81.78856482872595,52.2407686740005,237.87500155961246,548.64,624.84,0,a007c6,0
