,window,mean_geoaltitude
162,"Row(start=datetime.datetime(2022, 2, 20, 18, 22), end=datetime.datetime(2022, 2, 20, 18, 24))",378.14249999999964
163,"Row(start=datetime.datetime(2022, 2, 20, 18, 24), end=datetime.datetime(2022, 2, 20, 18, 26))",376.5550000000002
164,"Row(start=datetime.datetime(2022, 2, 20, 18, 26), end=datetime.datetime(2022, 2, 20, 18, 28))",333.8194999999997
165,"Row(start=datetime.datetime(2022, 2, 20, 18, 28), end=datetime.datetime(2022, 2, 20, 18, 30))",238.506
166,"Row(start=datetime.datetime(2022, 2, 20, 18, 30), end=datetime.datetime(2022, 2, 20, 18, 32))",230.37799999999973
167,"Row(start=datetime.datetime(2022, 2, 20, 18, 32), end=datetime.datetime(2022, 2, 20, 18, 34))",232.02899999999974
168,"Row(start=datetime.datetime(2022, 2, 20, 18, 34), end=datetime.datetime(2022, 2, 20, 18, 36))",188.21400000000025
169,"Row(start=datetime.datetime(2022, 2, 20, 18, 36), end=datetime.datetime(2022, 2, 20, 18, 38))",48.387000000000086
170,"Row(start=datetime.datetime(2022, 2, 20, 18, 38), end=datetime.datetime(2022, 2, 20, 18, 40))",38.09999999999998
171,"Row(start=datetime.datetime(2022, 2, 20, 18, 40), end=datetime.datetime(2022, 2, 20, 18, 42))",38.099999999999945
172,"Row(start=datetime.datetime(2022, 2, 21, 11, 18), end=datetime.datetime(2022, 2, 21, 11, 20))",578.7341772151901
173,"Row(start=datetime.datetime(2022, 2, 21, 11, 20), end=datetime.datetime(2022, 2, 21, 11, 22))",880.0465000000007
174,"Row(start=datetime.datetime(2022, 2, 21, 11, 22), end=datetime.datetime(2022, 2, 21, 11, 24))",1037.0820000000012
175,"Row(start=datetime.datetime(2022, 2, 21, 11, 24), end=datetime.datetime(2022, 2, 21, 11, 26))",1050.417
176,"Row(start=datetime.datetime(2022, 2, 21, 11, 26), end=datetime.datetime(2022, 2, 21, 11, 28))",1039.4949999999985
177,"Row(start=datetime.datetime(2022, 2, 21, 11, 28), end=datetime.datetime(2022, 2, 21, 11, 30))",1037.2725000000007
178,"Row(start=datetime.datetime(2022, 2, 21, 11, 30), end=datetime.datetime(2022, 2, 21, 11, 32))",1030.5415000000007
